"Theta [deg]","dB(rETotal) [] - Freq='25GHz' Phi='90.0000000000002deg'","dB(rETotal) [] - Freq='25.5GHz' Phi='90.0000000000002deg'","dB(rETotal) [] - Freq='25.9GHz' Phi='90.0000000000002deg'","dB(rETotal) [] - Freq='25.95GHz' Phi='90.0000000000002deg'","dB(rETotal) [] - Freq='26GHz' Phi='90.0000000000002deg'"
0,24.8315913569818,24.8133038635503,24.7934717219567,24.7897791103451,24.7859286644471
1,24.8275688503585,24.8087644921504,24.7883966468603,24.784631854009,24.7807077732535
2,24.8188571109248,24.7991685893822,24.7778900890467,24.7740027078948,24.7699525833385
3,24.8064563153215,24.7856998971572,24.7633001321164,24.7592613979298,24.755054701338
4,24.7920529958386,24.7703509067629,24.7468919784039,24.7427090644437,24.7383516232979
5,24.7779656573081,24.7558483147961,24.7317549418296,24.7274828032499,24.7230287964724
6,24.7670017012498,24.7454681639005,24.7215789688191,24.7173270122847,24.7128857173331
7,24.7621773785702,24.7426855788681,24.720239406346,24.7161694287626,24.7119031005955
8,24.7662750740336,24.7506349145726,24.7311678888126,24.7274800396081,24.7235896235797
9,24.781262835967,24.7714209655762,24.756565769224,24.7534714881838,24.7501691179061
10,24.8076709064904,24.8054063493764,24.7966143436062,24.7942992168989,24.7917705203465
11,24.8440821109972,24.850667431282,24.848906627962,24.8474904407367,24.8458540820749
12,24.8869113791607,24.9028177187265,24.9083188229649,24.9078225105652,24.9070968264921
13,24.9306041359242,24.9553271102357,24.967445117902,24.9677734742413,24.9678591646893
14,24.9682907507904,25.0003505895394,25.0175862729722,25.0185320891523,25.0192166726146
15,24.9928397569775,25.029980389622,25.0501817306919,25.0514539034941,25.0524404928437
16,24.9981864151926,25.0377772115226,25.0585246252709,25.059800742304,25.0607616607578
17,24.9807496665582,25.0203676422327,25.0395215976891,25.040521955494,25.0411740639669
18,24.9406181330674,24.9787193444829,24.9950360365683,24.9956056412047,24.9957935360491
19,24.8819584467798,24.9184105456404,24.931993748002,24.9321597987695,24.9319135587222
20,24.8119510035784,24.8480665170551,24.8603097544856,24.8602677381947,24.8597875187141
21,24.7379414667909,24.7757507756774,24.7885697851465,24.7885748356938,24.7881194063704
22,24.663794946055,24.7048461617706,24.7195799150483,24.7198019729411,24.7195423664336
23,24.5880572698601,24.6327607187944,24.6497575500806,24.6502401532174,24.6502210325884
24,24.5065078894936,24.5550421571802,24.5747239258875,24.5755403994727,24.5758413187887
25,24.4185159975762,24.4729296367706,24.4976361257356,24.4991254489299,24.5000971682194
26,24.3318567656644,24.3970353026577,24.4313002244641,24.4340605098799,24.4363084965743
27,24.2590292786485,24.3399880878362,24.3874297911442,24.3918703717202,24.395794425665
28,24.2045259065292,24.3011786962183,24.3602460267736,24.3660733513352,24.3713603004071
29,24.1548602126218,24.2603560494015,24.3247096605656,24.331104622056,24.336936020843
30,24.086253540874,24.193304815352,24.2588233343529,24.2654232969752,24.2714775276861
31,23.9876190250126,24.097963233666,24.1696751483026,24.1773449299478,24.1845398728448
32,23.8755447665325,24.0009855384061,24.089928535839,24.1000783653144,24.1098225052361
33,23.7791301549701,23.9285764290923,24.0382830775721,24.0510483758213,24.0634029600847
34,23.7042330333267,23.8701903365831,23.9895104016512,24.0032018140697,24.0164204632555
35,23.6216365211049,23.7863901139313,23.9012674886898,23.9142406358457,23.9267180890568
36,23.5008494730678,23.6565177348089,23.7659356653,23.7784228113651,23.7904720661666
37,23.3465324462274,23.5013007810743,23.6145808114411,23.6278194482488,23.6406826435693
38,23.1863824448194,23.3469563900118,23.4660035454153,23.479967713154,23.4935632715489
39,23.0269885364191,23.1855485335968,23.3029213755269,23.3167462314894,23.3302471225574
40,22.8492870395673,23.0010564555272,23.1204355050188,23.1351165637327,23.1496397695561
41,22.6557816259324,22.81793130774,22.957707200017,22.9755639963066,22.9933977526921
42,22.4848061415655,22.6740903285734,22.8369770623937,22.8574714167445,22.8778764962197
43,22.3509439986719,22.5498969457387,22.7113565804587,22.7311119803973,22.7507013657884
44,22.2102609577884,22.3886206260311,22.5344533037623,22.5526918163187,22.5709374767891
45,22.0258174679417,22.1879929556288,22.3374496449224,22.3572199454533,22.3772502533768
46,21.8278036304853,22.0027229721156,22.1719799175341,22.1943071896196,22.2168816583353
47,21.6626747595908,21.8493927914699,22.0202197533615,22.0420720897459,22.0640681492129
48,21.5181522759652,21.6881227096927,21.8442407903524,21.8646275484872,21.8853420523466
49,21.359747694891,21.5113933998648,21.6695794251402,21.6913693179438,21.7137633754173
50,21.2016356788357,21.3583779964243,21.530017410446,21.5534633713115,21.5774761436787
51,21.0732450280643,21.2287427687532,21.3896359091561,21.4109267442433,21.4326668076626
52,20.9541255594575,21.0763632470139,21.2074764911398,21.2253169361952,21.2437808430758
53,20.8106039157684,20.8947987739147,21.0083515450247,21.0248936479342,21.0422922367501
54,20.655837010119,20.7191959293294,20.823910958537,20.8395530465278,20.8561180516643
55,20.5159172608842,20.5592266701202,20.6515315561825,20.6660222383576,20.6815939818544
56,20.3905556784531,20.417115550439,20.5066596754879,20.5211775921249,20.536821420069
57,20.2913174182068,20.3130872584992,20.3871730063717,20.3980730993686,20.4096938152589
58,20.2286436727114,20.2088876876443,20.2198054263067,20.2218627040955,20.2246760201861
59,20.1464823708803,20.0426632409066,20.0068804918545,20.0061593043636,20.0070030857878
60,20.0106969193825,19.8820816841201,19.8687694480724,19.8714875681056,19.8755504062815
61,19.9100539803373,19.8104605400505,19.7758864242162,19.7712782518337,19.7670126780409
62,19.8808800536509,19.7211219476338,19.5937038952651,19.578234240834,19.5637880532809
63,19.805874421423,19.5577590293136,19.4266997417858,19.4160290168147,19.4072788359919
64,19.6865455238693,19.4831135267273,19.4081944945308,19.4008378409917,19.3940559571131
65,19.6714217089127,19.5142128400994,19.3862442000149,19.3677242820318,19.3492354053567
66,19.7189176061066,19.4860369676505,19.2926418456401,19.2692771874512,19.2467762894247
67,19.6960736442496,19.4214647461208,19.2309927885169,19.2073119253956,19.1838133818996
68,19.6517942175253,19.3865730065722,19.1611125458244,19.1305240542036,19.0998900666561
69,19.6247969895657,19.3272846341365,19.0919913521016,19.0644261905822,19.0377851978007
70,19.5766505185615,19.3070722168329,19.128808954771,19.1065010788653,19.0839904461654
71,19.5730227379925,19.3603727575029,19.1532623915113,19.122322670596,19.0903945750647
72,19.6094365441969,19.350697960947,19.0920667958349,19.0577883554207,19.0233643135422
73,19.5739155666232,19.2883793853553,19.0490662875688,19.0174046372021,18.9851603937788
74,19.5034386416028,19.2507136031114,19.0134516531602,18.981415910277,18.9490415863541
75,19.4518871447858,19.2062684369362,19.0095785254821,18.9869541412198,18.9646373492225
76,19.3855799474785,19.2070553788915,19.0800003257006,19.0611368078171,19.0407740834495
77,19.3552115550824,19.2451267829007,19.0711882130244,19.041896854413,19.0109010574532
78,19.3490706569981,19.1819812945569,18.9709213433562,18.9442587097775,18.9177535720814
79,19.2509524512521,19.0658768150587,18.9377718478749,18.9233191939635,18.9084170155029
80,19.1039479470562,19.0201841823319,18.9367027451525,18.9214045308312,18.9043799284742
81,19.0154264664233,18.9752596839171,18.8559636642086,18.8376456652849,18.8187382056299
82,18.9271890646258,18.84403665385,18.7576580656747,18.7501571532485,18.7428950002497
83,18.7506239621977,18.7177739831049,18.7268590652109,18.7255408886726,18.7223118338672
84,18.5706653007004,18.6596285631072,18.6342968998503,18.6227194581752,18.6094389926322
85,18.4695880484541,18.5086327550974,18.4409151566476,18.4362058245702,18.4326230652354
86,18.2876463563342,18.2724478713581,18.3325427358539,18.3427413792233,18.3517738336634
87,17.9979117777802,18.1379056047805,18.211751492445,18.2126335837481,18.2117519495423
88,17.803903257835,17.9591579912189,17.9781651650494,17.9843717555156,17.9918367626613
